term,type,example
"It + be + adjective + that clause",grammar,"It is possible that we will have a test tomorrow."
"Correlative conjunctions",grammar,"Justin is studying both Russian and English."
both … and,conjunction,"I speak both English and Spanish."
neither … nor,conjunction,"Neither John nor Mary came to the party."
not only … but also,conjunction,"She is not only smart but also hardworking."
"Reported questions",grammar,"Bob asked if he could go. | Jan asked why they left."
"Present Unreal Conditional",grammar,"If I had money, I would buy a ticket to the game."
"Wish for unreal situations",grammar,"I wish I had money to buy a ticket."
wish,verb,I wish I could help you.
"Be used to",grammar,"Mike is used to waking up early for classes."
be used to,phrase,I am used to the cold weather.
be accustomed to,phrase,She is accustomed to working long hours.
"Negative Questions",grammar,"Don't you want to go? | Why didn't Mike go?"
"Logical Impossibility with can't",grammar,"The car can't be out of gas."
can't be,modal,That can't be true.
couldn't be,modal,It couldn't be better.
"Suffix -ness for adjectives to nouns",grammar,"happy → happiness | sad → sadness"
"Suffix -ment for verbs to nouns",grammar,"develop → development | agree → agreement"
"Perfect Modals",grammar,"We should have gone to the movies."
should have,modal,You should have told me.
could have,modal,I could have helped you.
ought to have,modal,They ought to have arrived by now.
"Restrictive Adjective Clauses",grammar,"The car that we bought was blue."
"Verb + object + adjective + to-infinitive",grammar,"John advised me to speak with the boss."
advise,verb,I advise you to study harder.
convince,verb,She convinced me to join the team.
persuade,verb,He persuaded them to stay.
remind,verb,Please remind me to call.
academic,adjective,This is an academic discussion.
current,adjective,What is the current situation?
eligible,adjective,Are you eligible to vote?
ineligible,adjective,He is ineligible for the scholarship.
motivated,adjective,She is very motivated to succeed.
political,adjective,This is a political issue.
primary,adjective,What is your primary concern?
qualified,adjective,She is qualified for the position.
social,adjective,We need more social interaction.
favorable,adjective,The conditions are favorable.
foggy,adjective,It's foggy this morning.
invisible,adjective,The writing is almost invisible.
probable,adjective,It is probable that it will rain.
severe,adjective,The storm was severe.
unfavorable,adjective,The results were unfavorable.
visible,adjective,The stars are visible tonight.
agreement,noun,We reached an agreement.
chief,adjective,What is your chief complaint?
chief,noun,The chief of police arrived.
concerned,adjective,I am concerned about this.
definite,adjective,Do you have a definite answer?
excellent,adjective,That is an excellent idea.
indefinite,adjective,The delay is indefinite.
main,adjective,What is the main reason?
personal,adjective,This is a personal matter.
unemployed,adjective,Many people are unemployed.
along,preposition,Walk along the river.
blind,adjective,He has been blind since birth.
blind,verb,The sun will blind you.
deaf,adjective,She is deaf in one ear.
disabled,adjective,The building is accessible for disabled people.
sudden,adjective,It was a sudden change.
hazardous,adjective,This material is hazardous.
severely,adverb,He was severely injured.
unlikely,adjective,It is unlikely to happen.
chiefly,adverb,The problem is chiefly financial.
personally,adverb,I personally disagree.
academy,noun,She attends a military academy.
anthropology,noun,He studies anthropology at university.
appointee,noun,The new appointee will start Monday.
appointment,noun,I have an appointment at 3 PM.
biology,noun,Biology is my favorite subject.
campaign,noun,The election campaign begins tomorrow.
candidate,noun,She is a strong candidate.
chemistry,noun,Chemistry class is difficult.
design,noun,I love the design of this building.
design,verb,Who designed this logo?
economics,noun,He has a degree in economics.
engineer,noun,My brother is an engineer.
engineering,noun,She studies engineering.
graduate,noun,He is a recent graduate.
leader,noun,She is a natural leader.
leadership,noun,Good leadership is essential.
physics,noun,Physics explains how things work.
president,noun,The president gave a speech.
program,noun,What program are you studying?
qualification,noun,Do you have the right qualifications?
science,noun,Science is fascinating.
scientist,noun,Marie Curie was a famous scientist.
semester,noun,This semester has been challenging.
social science,phrase,Sociology is a social science.
sociology,noun,She majors in sociology.
strategy,noun,We need a new strategy.
barricade,noun,The police set up a barricade.
barricade,verb,They barricaded the door.
coast,noun,We live near the coast.
condition,noun,The car is in good condition.
damage,noun,The storm caused significant damage.
danger,noun,There is danger ahead.
drizzle,noun,The drizzle turned into rain.
drizzle,verb,It started to drizzle.
evacuation,noun,The evacuation was orderly.
fact,noun,That is a fact.
flash,noun,I saw a flash of light.
flash,verb,The lights flashed.
flood,noun,The flood destroyed many homes.
flood,verb,The river will flood the town.
force,noun,The force of the wind was strong.
force,verb,Don't force me to choose.
fog,noun,The fog is very thick.
forecast,noun,The weather forecast is good.
forecast,verb,They forecast rain tomorrow.
hail,noun,The hail damaged the crops.
hail,verb,It started to hail.
hazard,noun,That is a safety hazard.
hurricane,noun,The hurricane hit the coast.
lightening,noun,The lightening was bright.
sleet,noun,The sleet made driving difficult.
sleet,verb,It's sleeting outside.
thunder,noun,I heard thunder.
tornado,noun,The tornado caused destruction.
visibility,noun,Visibility is poor in the fog.
warning,noun,They issued a storm warning.
weatherman,noun,The weatherman predicts rain.
benefit,noun,What is the benefit of this plan?
benefit,verb,This will benefit everyone.
concern,noun,My main concern is safety.
disagreement,noun,There was a disagreement.
employee,noun,She is a good employee.
employer,noun,My employer is very fair.
employment,noun,He found employment quickly.
head,noun,She is the head of the department.
point,noun,What is your point?
policy,noun,The new policy starts Monday.
supervisor,noun,My supervisor is helpful.
unemployment,noun,Unemployment is rising.
childhood,noun,I had a happy childhood.
consideration,noun,Thank you for your consideration.
control,noun,He has no control over the situation.
control,verb,You need to control your temper.
detail,noun,Please provide more details.
disability,noun,He has a learning disability.
memory,noun,I have a good memory.
share,noun,Everyone gets a fair share.
acquire,verb,We need to acquire new skills.
appoint,verb,They will appoint a new manager.
elect,verb,We will elect a new president.
establish,verb,We need to establish rules.
lead,verb,She will lead the team.
led,verb,He led us to safety.
motivate,verb,What motivates you?
name,verb,They will name the winner tomorrow.
reach,verb,Can you reach the top shelf?
vote,verb,Remember to vote.
evacuate,verb,We must evacuate immediately.
rose,verb,The sun rose early.
rise,verb,Prices continue to rise.
risen,verb,The temperature has risen.
run into,phrasal_verb,I ran into an old friend.
ran into,phrasal_verb,We ran into problems.
set up,phrasal_verb,Please set up the chairs.
strike,verb,Lightning can strike twice.
struck,verb,The clock struck twelve.
take precaution,phrase,Take precautions against fire.
warn,verb,I warned you about this.
watch out,phrasal_verb,Watch out for ice!
look out,phrasal_verb,Look out for cars!
agree,verb,I agree with you.
disagree,verb,I disagree with that idea.
employ,verb,The company employs 500 people.
fire,verb,They had to fire him.
get off,phrasal_verb,Get off the bus at Main Street.
got off,phrasal_verb,I got off work early.
gotten off,phrasal_verb,She has gotten off to a good start.
get rid of,phrasal_verb,Get rid of the old furniture.
got rid of,phrasal_verb,We got rid of the problem.
gotten rid of,phrasal_verb,They have gotten rid of it.
hire,verb,We need to hire more staff.
permit,verb,Do they permit smoking here?
point out,phrasal_verb,Let me point out the problem.
supervise,verb,Who will supervise this project?
blame,verb,Don't blame me.
bring back,phrasal_verb,Bring back my book tomorrow.
brought back,phrasal_verb,He brought back memories.
carry,verb,Can you carry this box?
communicate,verb,We need to communicate better.
look after,phrasal_verb,Please look after my cat.
set aside,phrasal_verb,Set aside some money for savings.
spoil,verb,Don't spoil the surprise.
qualify,verb,Do you qualify for assistance?
as,conjunction,Do as I say.
now,adverb,We must leave now.
however,conjunction,"I wanted to go. However, it was too late."
such as,phrase,"Fruits such as apples and oranges."
therefore,conjunction,"I was tired, therefore I went home."
likely,adjective,It is likely to rain.
